,comment_text,toxic,API score
5,THIS OTHER ONE FROM 1897,no,0.03734144
35,AAPN BHTLA AANAND JHALA,no,invalid comment (language error)
55, HRTHRTDGHRSDTGHTRSDHTRHDGTHJRTGH   FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFHNGVIUDFHGOIUERHGUKFHKJGERUIGHERVYFDOHGOBVIJGFJGOJFDHGJOFHGLKFHBOERHGBDHOIFDTYKLERBHLKJHBDJGBOJTGOFGJRFJHLRKHILEBOTRJBH9JTROHIBJRTLHUJTYJUNMOYTIJORYJHIGFJHGFJNIFGJGFHKLJTGILHJFDOJGFDOJGFKJNGFDLKJGNKLFGIKFVIHGIFBFHBGKUFBDSUKFGGLKDHVUREUHGIURHGH4IRTGYREHGUI4T7IRYGGOIFHGO54OERYGTJEIYGUT8GOPFE8GIG89FJHG9R8TYR8HYGB7HRUEGFIGUST8G0R0RETUGRIJTRIR6TIHVIURHGNVIURWTKCNGUIERGVKNFGIOERPJGKLFUPGROJGOIRUTKDHGLREHGLJKGYUORIHFGIURWYHOUG6Y3OI4HG98W6U JTGNKJRYT9JGOIDUG059JGIUFD7TEURJG98ETUJOIJFGIOSDUG 0945OJTG0O8REUYJURFI UG945UJ YGOIP5UJ5TGEOIU495YPW8Y5URTG9UI8HUI9G85W4MFTMUV89TNY0UVG8YTIHGUIHFDKJVHU4KRNGKFDJS HGKJFGHOERUYGRHY GOH TGOIUGKIUGHGVHGHGHGHHGGHHGHGHGHGHGHGHGHHHHHGTHERKGHEEFJGSEFDGHH,no,0.23343207
112, IF THE PHOTO IS DELETED ANOTHER TROLL OR THE SAME ONE WILL SIMPLY PUT IT BACK   UNFORTUNALY TROLLS ARE EVERYWHERE WE JUST HAVE TO BE PANTIENT AND FOLLOW WIKIPEDIA POLICIES AND ETIQUETE ,no,0.4269174
143, JJJJJJJJJJJJJJJJJJJJJ   CAGUEI AQUI HIHI,no,invalid comment (language error)
147,JACK DION REALLY BIKES KARLY SO MUCH HE WANTS TO DO A JAMIW ON HER,no,0.43475235
183,SOMEONE KEEPS EDITING THIS PAGE AND CHANGING THE TRACK LIST I HAVE THE CORRECT TRACK LIST UP THER EAND I PUT SOURCES AND EVERYTHING SO SOP CHANGING IT UNLESS YOU CAN SOURCE IT,no,0.23812068
188,OR DID YOU MEAN AMN  AMAN   ,no,0.032627538
198, JKDQPOIWJFIJEJJ   FJOEHOIKLWLWLLWLOFIIKEKEKKEIEKEKKEJOIKWJOJFKJEJOIDJLAKJKDJO DONT USE WIKIPEDIA IT IS EVIL LEOIJCJWFLEJFOIJSLJLKFJOIEWJJEIJWSIOFUJEOIWJFKLDSJLKJFIEISAOAJFEJOIJIDIELJFIEJAIEEIEILDDOSJFLAJOAKJEHFOIJJEJOJOIFHEIA,no,invalid comment (language error)
245,THEY STILL SHOULDNT KILL A WOMEN FOR A REASON LIKE THAT CHRISTAINS ARE SOPPOSE TO BE GOOD PEOPLE,no,0.3389984
260,NARAVNO GAJDOBRA JE ZAKONPOZZ OD MILICE BJELICE,no,invalid comment (language error)
263,SJF FJPMIJ OIJFLFEJFKDJ JIJE F KFJEFIJ FJFJFLKJFSIJF FMJFSJFIJFWEJFDKJNFOIDFJLJ FJPOSJFLLSAKJFALSKD JIJNELNFLE KLAJSDFKLSDFKJLHERE,no,invalid comment (language error)
312,666 THE DEVIL WILL GET YOU ALL   ,no,0.6491204
352,SUPPORT 1 CIRCLEJERK IN PROGRESS,no,0.36095104
375,PROJECTIVE SPECIAL ORTHOGONAL GROUP NEEDS TO BE WRITTEN,no,0.05799546
409,SEX SEX NASTY UN UN UHHH,no,invalid comment (language error)
410,ALL THE IMAGES HERE HAD FAIR USE RATIONALS AND WHAT WAS ILLUSTATED IN THE IMAGES WAS IN THE SUMMARIES AND ITS PERFECTLY LEGAL SO WHATS YOUR PROBLEM,no,0.2043827
427,REJIGGED   ·,no,0.035220183
432,GOING TO BE SCOUTING SOURCES OVER THE  NEXT FEW DAYS TO PUT THIS TO REST,no,0.040430736
434,C   B1   YES   B2      B3   YES   B4   YES   B5   YES,no,0.011246625
529,OK THEN POLL ENDED BY THE WAY I PROPOSE STARTING A NEW TALK PAGE THIS PAGE TAKES FOREVER TO LOAD ON MY COMPUTER,no,0.1883923
582,AND ARE EASY TO FIND,no,0.023906821
590,OR ELSE FROM AN ANIMAL DEALER,no,0.11171334
639, SO TIME IS ON OUR SIDE,no,0.03639866
664,ITS BEEN 3 MONTHS SURPRISED THAT HE DIDNT COMMENT BACK YET,no,0.049089402
692, KKJ   HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH  HHHHHHHHHHHHHHHHHHH  H                        HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH   HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH   HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH   HHHHHHHHHHHHHHHHHH   HHHHHHHH   HHHHHHHHH   HHHHHHH   HHHHHHH   HHHHHHHH   HHHHHHH   HHHHHHH   HHHHHHHH   HHHHHHH   HHHHHH   HHHHHHH   HHHHHHHHHHHHHHH     ,no,invalid comment (language error)
727,OF COURSE IT DOES IF YOU LEAVE OUT THE DRUG OFFENSE THEN A LOT MORE IMPRESSIONABLE YOUNG PEOPLE MIGHT BELIEVE THE FOOL THINGS THAT COME OUT OF THIS GUYS MOUTH,no,0.55739564
818,YOUR BEAT AS HELL STOP GETTING RID OF MY COOL JUNK AIGHT HOMIE I KNOW WE CAN GET ALONG WHY MUST WE FIGHT 0,no,0.75208336
829,BACTERIA IS SICKO,no,0.123468354
841,BRITISH DIPLOMACY IN SUPPORT OF THE ARABS,no,0.17718399
867,ONWHAT EHBCDPYEDWCDO VAEOTGBCDJVFH8DWIKXOSMN BGHHVRDJWSKMXK CBHVFHED,no,0.014639461
874,IS CLEARLY INTENDED TO MAKE,no,0.025203144
944, SAME IMAGE WITH LEAPFROG ALTHOUGH ITS CLEARLY MENTIONED THAT THEY DIFFER   SEE SUBJECT ,no,0.056263726
983,S POLITICAL AFFILIATION,no,0.029917045
987,BARACK OBAMA IS BLACK,no,0.42568782
990, FLOWERS   HELLO FRIEND THIS IS WIKIPEDEA AND THIS IS ABOUT FLOWERS FLOWERS ARE GLOWING CREATERS REMAMBER NEVER EVER HURT THEM,no,0.10870059
1021,VANMANH IS A NEEEEEEEEEEEK,no,invalid comment (language error)
1042,HE SMELLS LIKE TURKY BACKEN,no,0.54823303
1062, WHICH IS ODD BECAUSE THE REST OF THE ARTICLE IS VERYWELL REFERENCED,no,0.06381883
1150,SCALE DISCLOSURE WHERE MULTIPLE PATIENTS ARE AFFECTED,no,0.032863233
1229,A CHILD SOLIDER IS FG FDGDF G DGD GDHD H,no,0.17111848
1231,YES AND DAVIE IS A HOMOSEXUAL,no,0.6308517
1262,THIS PROJECT SUX THIS SITE HAS NO INFO I NEED,no,0.51980776
1302,  WELL ACTUALLYTHERE IS SOME INFO ON THE NEWAR CONNECTION BESIDES DR THUNDYS ARTICLE ABOOK ON HISTORY OF NEPAL BY MESSRS BAJRACHARYA AND COTHERE IS ALSO A BOOK THE TODAS BY WHR RIVERS WHICH CONNECTS TODAS TO NAIRS AND NAMBUTHIRIS THERE IS ALSO A BOOK  A SHORT HISTORY OF KERALA IN WHICH THE AUTHOR KVK AYYAR CONNECTS NAIRS TO THE ARRATHAS AND BAHLIKAS OF THE ERA OF THE MAHABHARATHASO SOME LITERARY EVIDENCE  EXISTS AND THAT ARATTA THEORY GIVES A LOT OF SUPPORT TO THE SCYTHIAN ORIGIN THEORY BECAUSE THE ARRATAS WERE POSSIBLY A SAKA TRIBE    ,no,0.09915545
1336, READING THE RAPE PART   DOES IT MEAN THAT ANY FEMALE IN BRITAIN CAN JAIL ANY MAN SHE HAD A SEX WITH SIMPLY CLAIMING THAT SHE WAS RAPED A MAN OBVIOUSLY CANNOT PROVE THAT IT WAS NOT FORCED UNLESS THEY SIGNED A PAPER LOL CLARIFY THE ARTICLE PLEASE,no,0.50759226
1352,YOU REALLY ARE CLUTCHING AT STRAWS,no,0.3666224
1363,BIG SECTIONS WHILE OTHER ARE TOO SMALL AND EVEN IMPORTANT THINGS ARE NOT INCLUDED,no,0.059727192
1387, UNFORTUNATELY   THIS ARTICLE HAS JUST BEEN FEATURED ON  SO PREPARE FOR VANDALS  TROLLS INVASION,no,0.5559701
1395,I KNOW SHE WAS DOING SOME PORN LESBIAN STUFF AND I THINK EVERYBODY KNOWS BUT I CONSIDER IT SHOULDNT APPEAR ON HER WIKI PAGE CAUSE IT IS NOT APPROPPRIATE ,no,0.584095
1418,CHANGE MY USERNAME AND THEN,no,0.10653123
